alt; T; H; rho; P; mu
258000; 79.27798552984868; 2320.0747281099907; 6.170276937133224e-49; 5.070071435606592e-44; 7.251743317305141e-06
259000; 78.88258492745632; 2308.5033071290104; 2.291378697913897e-49; 1.8828091190746896e-44; 7.226406580847953e-06
260000; 78.48915639379562; 2296.9895988509425; 8.448695619635678e-50; 6.942231404795133e-45; 7.2011583679617475e-06
261000; 78.09769009313277; 2285.5333154324817; 3.0928778787972034e-50; 2.541395134590964e-45; 7.175998369355604e-06
262000; 77.70817623878982; 2274.134170465944; 1.1240763437146741e-50; 9.23645311187078e-46; 7.150926276819219e-06
263000; 77.32060509290015; 2262.7918789721134; 4.055722736505648e-51; 3.3325577128230464e-46; 7.1259417832191514e-06
264000; 76.93496696616491; 2251.5061573931102; 1.452644952949356e-51; 1.1936277345516484e-46; 7.101044582495039e-06
265000; 76.55125221761088; 2240.2767235853084; 5.1647428867257634e-52; 4.243831459922566e-47; 7.076234369655862e-06
266000; 76.1694512543493; 2229.1032968122768; 1.8226993590253848e-52; 1.4976987337924277e-47; 7.051510840776203e-06
267000; 75.78955453133626; 2217.985597737765; 6.384655341547118e-53; 5.246224602750302e-48; 7.026873692992524e-06
268000; 75.41155255113388; 2206.9233484187166; 2.2197026590330643e-53; 1.823913442097834e-48; 7.002322624499457e-06
269000; 75.03543586367299; 2195.9162722983237; 7.658889218696206e-54; 6.2932532610486484e-49; 6.977857334546106e-06
270000; 74.66119506601676; 2184.9640941991083; 2.622581522875232e-54; 2.1549560582376597e-49; 6.9534775234323615e-06
271000; 74.2888208021258; 2174.0665403160483; 8.911747662996945e-55; 7.322717882495435e-50; 6.9291828925052355e-06
272000; 73.91830376262409; 2163.2233382097284; 3.005008859973369e-55; 2.469193804415258e-50; 6.9049731441551925e-06
273000; 73.54963468456639; 2152.434216799533; 1.0054391890535718e-55; 8.261620288032636e-51; 6.880847981812514e-06
274000; 73.18280435120647; 2141.6989063568617; 3.3378828189934467e-56; 2.7427139022131855e-51; 6.856807109943659e-06
275000; 72.817803591767; 2131.0171384983983; 1.099434859722815e-56; 9.033975839957395e-52; 6.832850234047647e-06
276000; 72.45462328120989; 2120.388646179387; 3.592765216396751e-57; 2.9521489041879628e-52; 6.808977060652449e-06
277000; 72.09325434000849; 2109.8131636869666; 1.1647339388210363e-57; 9.570533597543437e-53; 6.7851872973113895e-06
278000; 71.73368773392045; 2099.2904266335254; 3.7457663627018296e-58; 3.0778688271995307e-53; 6.761480652599574e-06
279000; 71.37591447376188; 2088.8201719500876; 1.1949454141370984e-58; 9.818779080830718e-54; 6.737856836110305e-06
280000; 71.01992561518267; 2078.402137879742; 3.7811691028665932e-59; 3.1069589998903803e-54; 6.714315558451538e-06
281000; 70.6657122584428; 2068.036063971093; 1.1867298633219363e-59; 9.751272500591096e-55; 6.690856531242326e-06
282000; 70.31326554818989; 2057.721691071754; 3.694046205466719e-60; 3.0353707522323077e-55; 6.667479467109293e-06
283000; 69.96257667323783; 2047.4587613218641; 1.1403922545223105e-60; 9.37051975778398e-56; 6.6441840796831086e-06
284000; 69.61363686634651; 2037.2470181476467; 3.4912772429903746e-61; 2.8687569786280806e-56; 6.620970083594989e-06
285000; 69.26643740400255; 2027.0862062549895; 1.0599102088114939e-61; 8.709204673882447e-57; 6.59783719447319e-06
286000; 68.92096960620131; 2016.976071623066; 3.1906917049358124e-62; 2.621768040210199e-57; 6.5747851289395285e-06
287000; 68.57722483622986; 2006.9163614979839; 9.52374739981576e-63; 7.825593590645653e-58; 6.551813604605916e-06
288000; 68.23519450045107; 1996.9068243864667; 2.8184752759822444e-63; 2.315920522581959e-58; 6.528922340070894e-06
289000; 67.89487004808869; 1986.947210049564; 8.269511600173924e-64; 6.794997206387776e-59; 6.50611105491618e-06
290000; 67.55624297101373; 1977.0372694964005; 2.4053625608386482e-64; 1.9764688256685686e-59; 6.483379469703253e-06
291000; 67.21930480353159; 1967.1767549779445; 6.935725947842383e-65; 5.699035289928005e-60; 6.460727305969904e-06
292000; 66.88404712217056; 1957.3654199808207; 1.9823917427727533e-65; 1.628916797676872e-60; 6.4381542862268465e-06
293000; 66.55046154547111; 1947.603019221142; 5.616277394203608e-66; 4.6148540626159474e-61; 6.415660133954305e-06
294000; 66.21853973377648; 1937.8893086383819; 1.5770458461316223e-66; 1.2958470387277092e-61; 6.3932445735986345e-06
295000; 65.88827338902406; 1928.224045389269; 4.388860926539326e-67; 3.606294927312511e-62; 6.370907330568938e-06
296000; 65.55965425453807; 1918.60698784172; 1.2104474232677136e-67; 9.946157956184991e-63; 6.3486481312337115e-06
297000; 65.232674114823; 1909.037895568794; 3.3082732783705954e-68; 2.718383959219881e-63; 6.3264667029174816e-06
